symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,dividend_yield_pct,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,per,pbr,roe_pct,consensus_rating,forecast_agreement,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,trust_fee_pct,aum,nisa_tsumitate_eligible,nisa_growth_eligible,installment_available,management_style,distribution_policy,yahoo_symbol,yahoo_symbol_note,yahoo_symbol_checked_at,yahoo_symbol_status,sector_gics,industry_gics,subindustry_gics,tse_33_industry,topix_17,smai_theme_tags,theme_confidence,theme_source,market_cap,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,nisa_growth_status,nisa_growth_verified,nisa_growth_as_of,nisa_growth_source,nisa_tsumitate_status,nisa_tsumitate_verified,nisa_tsumitate_as_of,nisa_tsumitate_source,average_volume,asset_class,region_exposure,is_hedged,per_source,per_as_of,per_quality,pbr_source,pbr_as_of,pbr_quality,roe_pct_source,roe_pct_as_of,roe_pct_quality,dividend_yield_pct_source,dividend_yield_pct_as_of,dividend_yield_pct_quality,market_cap_tier_source,market_cap_tier_as_of,market_cap_tier_quality,market_cap_source,market_cap_as_of,market_cap_quality,expense_ratio_pct_source,expense_ratio_pct_as_of,expense_ratio_pct_quality,aum_source,aum_as_of,aum_quality,average_volume_source,average_volume_as_of,average_volume_quality,data_quality_reasons,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source
8058.T,Mitsubishi Corporation,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,trading,industrial,三菱商事 商社 高配当,dividend,2.17,mega,,,standard,"dividend,high_dividend,industrial,trading",23.29,1.89,8.98,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,8058.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,卸売業,商社・卸売,"high_dividend,industrial,trading",0.90,rule_backfill_v2_from_smai_theme_tags,16110594293760,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,11497878,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,8058,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
8001.T,Itochu,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,trading,industrial,伊藤忠 商社,dividend,2.17,mega,,,standard,"dividend,industrial,trading",14.67,1.99,13.91,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,8001.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,卸売業,商社・卸売,"industrial,trading",0.90,rule_backfill_v2_from_smai_theme_tags,12679701856256,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,14935719,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,8001,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
8031.T,Mitsui,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,trading,industrial,三井物産 商社,dividend,2.17,mega,,,standard,"dividend,industrial,trading",17.24,1.62,10.3,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,8031.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,卸売業,商社・卸売,"industrial,trading",0.90,rule_backfill_v2_from_smai_theme_tags,12600800706560,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,6980236,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,8031,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
2914.T,Japan Tobacco,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,consumer,consumer,日本たばこ JT 高配当,high_dividend,3.79,mega,,,standard,"dividend,consumer,high_dividend",21.69,2.65,13.62,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,2914.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,食料品,食品,"consumer,high_dividend",0.80,rule_backfill_v1,10559138299904,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,4274486,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,2914,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
7974.T,Nintendo,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,communication,communication,任天堂,high_dividend,3.06,large,,,standard,"balanced,communication,high_dividend",19.74,2.81,14.93,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,7974.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,その他製品,情報通信・サービスその他,"communication,high_dividend",0.80,rule_backfill_v1,7907253420032,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,10267116,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,7974,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4519.T,Chugai Pharmaceutical,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,healthcare,healthcare,中外製薬 ヘルスケア,dividend,1.55,mega,,,standard,"balanced,healthcare",28.98,6.59,23.71,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4519.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,医薬品,医薬品,healthcare,0.80,rule_backfill_v1,12399179464704,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,2874616,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4519,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4568.T,Daiichi Sankyo,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,healthcare,healthcare,第一三共 ヘルスケア,dividend,2.89,large,,,standard,"balanced,healthcare",18.67,2.87,15.81,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4568.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,医薬品,医薬品,healthcare,0.80,rule_backfill_v1,4670139924480,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,8578050,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4568,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
4502.T,Takeda Pharmaceutical,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,healthcare,healthcare,武田薬品 ヘルスケア 高配当,high_dividend,3.91,large,,,standard,"dividend,healthcare,high_dividend",40.81,0.99,2.61,3.1,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,4502.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,医薬品,医薬品,"healthcare,high_dividend",0.80,rule_backfill_v1,7984684990464,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,4260875,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,4502,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6367.T,Daikin Industries,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,industrial,industrial,ダイキン,dividend,1.46,large,,,standard,"balanced,industrial",25.44,2.15,9.26,3.4,MEDIUM,OK,LOW,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6367.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,機械,機械,industrial,0.86,rule_sprint_v3_representative_theme_from_smai_tags,6638316552192,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,1255368,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6367,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
6981.T,Murata Manufacturing,jp,stock,JPY,sbi_securities,unknown,growth,lump_sum,true,true,false,false,technology,technology,村田製作所,dividend,0.68,mega,,,standard,"growth,technology",82.1,7.04,8.83,4.0,MEDIUM,OK,MEDIUM,yahoo,2026-06-01,2026-06-01T13:35:36.641936+09:00,,,false,true,,,,6981.T,,2026-06-25T22:54:22.115452+09:00,generated,,,,電気機器,電機・精密,technology,0.80,rule_backfill_v1,21524937441280,estimated,false,2026-06-01,yahoo,estimated,false,2026-06-01,yahoo,not_supported,false,2026-06-01,yahoo,22746055,,,,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,confirmed,yahoo,2026-06-01,suspicious,yahoo,2026-06-25,confirmed,,,missing,,,missing,yahoo,2026-06-25,confirmed,market_cap_tier:outlier,Japan,TSE,6981,Japan,JPY,JPY,JPY,,japan,LOW,unknown,not_applicable,,not_applicable,,
