symbol,name,market,asset_type,currency,theme,sector,index_family,expense_ratio_pct,complexity,tags,aliases,is_leveraged,is_inverse,source_market_segment
2645.T,グローバルＸ レジャー＆エンターテインメント-日本株式 ETF,jp,etf,JPY,index,index,,0.59,beginner,"low_cost,balanced",グローバルＸ レジャー＆エンターテインメント-日本株式 ETF Solactive Japan Leisure & Entertainment Index（配当込み）,false,false,
2646.T,グローバルＸ メタルビジネス-日本株式 ETF,jp,etf,JPY,index,index,,0.59,beginner,"low_cost,balanced",グローバルＸ メタルビジネス-日本株式 ETF FactSet Japan Metal Business Index（配当込み）,false,false,
2836.T,グローバルＸ フィンテック-日本株式 ETF,jp,etf,JPY,index,index,,0.59,beginner,"low_cost,balanced",グローバルＸ フィンテック-日本株式 ETF Indxx Japan Fintech Index（配当込み）,false,false,
2837.T,グローバルＸ 中小型リーダーズ-日本株式 ETF,jp,etf,JPY,index,index,small_us,0.275,beginner,"low_cost,balanced",グローバルＸ 中小型リーダーズ-日本株式 ETF FactSet Japan Mid & Small Cap Leaders Index（配当込み）,false,false,
2847.T,グローバルＸ 新成長インフラ-日本株式 ETF,jp,etf,JPY,index,index,,0.59,beginner,"low_cost,balanced",グローバルＸ 新成長インフラ-日本株式 ETF FactSet Japan New Growth Infrastructure Index（配当込み）,false,false,
2848.T,グローバルＸ MSCI 気候変動対応-日本株式 ETF,jp,etf,JPY,index,index,,0.08,beginner,"low_cost,balanced",グローバルＸ MSCI 気候変動対応-日本株式 ETF MSCI Japan Climate Change Index（配当込み）,false,false,
2849.T,グローバルＸ Morningstar 高配当 ESG-日本株式 ETF,jp,etf,JPY,index,index,,0.275,beginner,"dividend,balanced",グローバルＸ Morningstar 高配当 ESG-日本株式 ETF Morningstar®日本株式サステナビリティ配当利回りフォーカス指数℠（税引前配当込み）,false,false,
2851.T,iシェアーズ MSCI ジャパンSRI ETF,jp,etf,JPY,index,index,,0.11,beginner,"low_cost,balanced",iシェアーズ MSCI ジャパンSRI ETF MSCIジャパン700 SRIセレクト指数（配当込み）,false,false,
2854.T,グローバルＸ テック・トップ20-日本株式 ETF,jp,etf,JPY,index,index,,0.275,beginner,"low_cost,balanced",グローバルＸ テック・トップ20-日本株式 ETF FactSet Japan Tech Top 20 Index（配当込み）,false,false,
2250.T,iシェアーズ MSCI ジャパン気候変動アクション ETF,jp,etf,JPY,index,index,,0.08,beginner,"low_cost,balanced",iシェアーズ MSCI ジャパン気候変動アクション ETF MSCIジャパン気候変動アクション指数（配当込み）,false,false,
213A.T,上場インデックスファンド日経半導体株,jp,etf,JPY,index,index,,0.15,beginner,"low_cost,balanced",上場インデックスファンド日経半導体株 日経半導体株指数,false,false,
221A.T,ＭＡＸＩＳ日経半導体株上場投信,jp,etf,JPY,index,index,,0.14,beginner,"low_cost,balanced",ＭＡＸＩＳ日経半導体株上場投信 日経半導体株指数,false,false,
200A.T,ＮＥＸＴ ＦＵＮＤＳ 日経半導体株指数連動型上場投信,jp,etf,JPY,index,index,,0.15,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ 日経半導体株指数連動型上場投信 日経半導体株指数（トータルリターン）,false,false,
234A.T,グローバルＸ MSCI キャッシュフローキング-日本株式 ETF,jp,etf,JPY,index,index,,0.275,beginner,"low_cost,balanced",グローバルＸ MSCI キャッシュフローキング-日本株式 ETF MSCI Japan IMI High Free Cash Flow Yield 50 Select Index（配当込み）,false,false,
235A.T,グローバルＸ 高配当30-日本株式 ETF,jp,etf,JPY,index,index,,0.275,beginner,"dividend,balanced",グローバルＸ 高配当30-日本株式 ETF Mirae Asset Japan High Dividend 30 Index（配当込み）,false,false,
