code,security_name,market,asset_type,currency,theme,sector,tags,aliases,market_cap_tier,source_market_segment,source_industry_33,source_industry_17,source_scale_category
7741,ＨＯＹＡ,jp,stock,JPY,technology,technology,growth,ＨＯＹＡ プライム（内国株式） 精密機器 電機・精密,mega,プライム（内国株式）,精密機器,電機・精密,TOPIX Core30
7743,シード,jp,stock,JPY,technology,technology,growth,シード スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7744,ノーリツ鋼機,jp,stock,JPY,technology,technology,growth,ノーリツ鋼機 プライム（内国株式） 精密機器 電機・精密,small,プライム（内国株式）,精密機器,電機・精密,TOPIX Small 1
7745,Ａ＆Ｄホロンホールディングス,jp,stock,JPY,technology,technology,growth,Ａ＆Ｄホロンホールディングス プライム（内国株式） 精密機器 電機・精密,small,プライム（内国株式）,精密機器,電機・精密,TOPIX Small 1
7746,岡本硝子,jp,stock,JPY,technology,technology,growth,岡本硝子 スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7747,朝日インテック,jp,stock,JPY,technology,technology,growth,朝日インテック プライム（内国株式） 精密機器 電機・精密,mid,プライム（内国株式）,精密機器,電機・精密,TOPIX Mid400
7749,メディキット,jp,stock,JPY,technology,technology,growth,メディキット スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7751,キヤノン,jp,stock,JPY,technology,technology,growth,キヤノン プライム（内国株式） 電気機器 電機・精密,large,プライム（内国株式）,電気機器,電機・精密,TOPIX Large70
7752,リコー,jp,stock,JPY,technology,technology,growth,リコー プライム（内国株式） 電気機器 電機・精密,mid,プライム（内国株式）,電気機器,電機・精密,TOPIX Mid400
7760,ＩＭＶ,jp,stock,JPY,technology,technology,growth,ＩＭＶ スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7762,シチズン時計,jp,stock,JPY,technology,technology,growth,シチズン時計 プライム（内国株式） 精密機器 電機・精密,small,プライム（内国株式）,精密機器,電機・精密,TOPIX Small 1
7769,リズム,jp,stock,JPY,technology,technology,growth,リズム プライム（内国株式） 精密機器 電機・精密,,プライム（内国株式）,精密機器,電機・精密,-
7771,日本精密,jp,stock,JPY,technology,technology,growth,日本精密 スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7774,ジャパン・ティッシュエンジニアリング,jp,stock,JPY,technology,technology,growth,ジャパン・ティッシュエンジニアリング グロース（内国株式） 精密機器 電機・精密,,グロース（内国株式）,精密機器,電機・精密,-
7775,大研医器,jp,stock,JPY,technology,technology,growth,大研医器 スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7776,セルシード,jp,stock,JPY,technology,technology,growth,セルシード グロース（内国株式） 精密機器 電機・精密,,グロース（内国株式）,精密機器,電機・精密,-
7777,スリー・ディー・マトリックス,jp,stock,JPY,technology,technology,growth,スリー・ディー・マトリックス グロース（内国株式） 精密機器 電機・精密,,グロース（内国株式）,精密機器,電機・精密,-
7779,ＣＹＢＥＲＤＹＮＥ,jp,stock,JPY,technology,technology,growth,ＣＹＢＥＲＤＹＮＥ グロース（内国株式） 精密機器 電機・精密,,グロース（内国株式）,精密機器,電機・精密,-
7780,メニコン,jp,stock,JPY,technology,technology,growth,メニコン プライム（内国株式） 精密機器 電機・精密,small,プライム（内国株式）,精密機器,電機・精密,TOPIX Small 1
7781,平山ホールディングス,jp,stock,JPY,technology,technology,growth,平山ホールディングス スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7782,シンシア,jp,stock,JPY,technology,technology,growth,シンシア スタンダード（内国株式） 精密機器 電機・精密,,スタンダード（内国株式）,精密機器,電機・精密,-
7791,ドリームベッド,jp,stock,JPY,consumer,consumer,balanced,ドリームベッド スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7792,コラントッテ,jp,stock,JPY,consumer,consumer,balanced,コラントッテ グロース（内国株式） その他製品 情報通信・サービスその他,,グロース（内国株式）,その他製品,情報通信・サービスその他,-
7793,イメージ・マジック,jp,stock,JPY,consumer,consumer,balanced,イメージ・マジック グロース（内国株式） その他製品 情報通信・サービスその他,,グロース（内国株式）,その他製品,情報通信・サービスその他,-
7794,イーディーピー,jp,stock,JPY,consumer,consumer,balanced,イーディーピー グロース（内国株式） その他製品 情報通信・サービスその他,,グロース（内国株式）,その他製品,情報通信・サービスその他,-
7795,ＫＹＯＲＩＴＳＵ,jp,stock,JPY,consumer,consumer,balanced,ＫＹＯＲＩＴＳＵ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7800,アミファ,jp,stock,JPY,consumer,consumer,balanced,アミファ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7803,ブシロード,jp,stock,JPY,consumer,consumer,balanced,ブシロード グロース（内国株式） その他製品 情報通信・サービスその他,,グロース（内国株式）,その他製品,情報通信・サービスその他,-
7804,ビーアンドピー,jp,stock,JPY,consumer,consumer,balanced,ビーアンドピー スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7805,プリントネット,jp,stock,JPY,consumer,consumer,balanced,プリントネット スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7806,ＭＴＧ,jp,stock,JPY,consumer,consumer,balanced,ＭＴＧ グロース（内国株式） その他製品 情報通信・サービスその他,,グロース（内国株式）,その他製品,情報通信・サービスその他,-
7807,幸和製作所,jp,stock,JPY,consumer,consumer,balanced,幸和製作所 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7808,シー・エス・ランバー,jp,stock,JPY,consumer,consumer,balanced,シー・エス・ランバー スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7809,壽屋,jp,stock,JPY,consumer,consumer,balanced,壽屋 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7810,クロスフォー,jp,stock,JPY,consumer,consumer,balanced,クロスフォー スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7811,中本パックス,jp,stock,JPY,consumer,consumer,balanced,中本パックス スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7812,クレステック,jp,stock,JPY,consumer,consumer,balanced,クレステック スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7813,プラッツ,jp,stock,JPY,consumer,consumer,balanced,プラッツ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7814,日本創発グループ,jp,stock,JPY,consumer,consumer,balanced,日本創発グループ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7815,東京ボード工業,jp,stock,JPY,consumer,consumer,balanced,東京ボード工業 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7818,トランザクション,jp,stock,JPY,consumer,consumer,balanced,トランザクション プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7819,粧美堂,jp,stock,JPY,consumer,consumer,balanced,粧美堂 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7820,ニホンフラッシュ,jp,stock,JPY,consumer,consumer,balanced,ニホンフラッシュ プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7821,前田工繊,jp,stock,JPY,consumer,consumer,balanced,前田工繊 プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 1
7822,永大産業,jp,stock,JPY,consumer,consumer,balanced,永大産業 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7823,アートネイチャー,jp,stock,JPY,consumer,consumer,balanced,アートネイチャー スタンダード（内国株式） その他製品 情報通信・サービスその他,small,スタンダード（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7826,フルヤ金属,jp,stock,JPY,consumer,consumer,balanced,フルヤ金属 プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 1
7827,オービス,jp,stock,JPY,consumer,consumer,balanced,オービス スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7831,ウイルコホールディングス,jp,stock,JPY,consumer,consumer,balanced,ウイルコホールディングス スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7832,バンダイナムコホールディングス,jp,stock,JPY,consumer,consumer,balanced,バンダイナムコホールディングス プライム（内国株式） その他製品 情報通信・サービスその他,large,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Large70
7833,アイフィスジャパン,jp,stock,JPY,consumer,consumer,balanced,アイフィスジャパン スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7836,アビックス,jp,stock,JPY,consumer,consumer,balanced,アビックス スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7837,アールシーコア,jp,stock,JPY,consumer,consumer,balanced,アールシーコア スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7839,ＳＨＯＥＩ,jp,stock,JPY,consumer,consumer,balanced,ＳＨＯＥＩ プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 1
7840,フランスベッドホールディングス,jp,stock,JPY,consumer,consumer,balanced,フランスベッドホールディングス プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7841,遠藤製作所,jp,stock,JPY,consumer,consumer,balanced,遠藤製作所 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7844,マーベラス,jp,stock,JPY,technology,technology,growth,マーベラス プライム（内国株式） 情報・通信業 情報通信・サービスその他,small,プライム（内国株式）,情報・通信業,情報通信・サービスその他,TOPIX Small 2
7846,パイロットコーポレーション,jp,stock,JPY,consumer,consumer,balanced,パイロットコーポレーション プライム（内国株式） その他製品 情報通信・サービスその他,mid,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Mid400
7847,グラファイトデザイン,jp,stock,JPY,consumer,consumer,balanced,グラファイトデザイン スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7849,スターツ出版,jp,stock,JPY,technology,technology,growth,スターツ出版 スタンダード（内国株式） 情報・通信業 情報通信・サービスその他,,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,-
7850,総合商研,jp,stock,JPY,consumer,consumer,balanced,総合商研 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7851,カワセコンピュータサプライ,jp,stock,JPY,consumer,consumer,balanced,カワセコンピュータサプライ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7856,萩原工業,jp,stock,JPY,consumer,consumer,balanced,萩原工業 プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7857,セキ,jp,stock,JPY,consumer,consumer,balanced,セキ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7859,アルメディオ,jp,stock,JPY,consumer,consumer,balanced,アルメディオ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7860,エイベックス,jp,stock,JPY,technology,technology,growth,エイベックス プライム（内国株式） 情報・通信業 情報通信・サービスその他,small,プライム（内国株式）,情報・通信業,情報通信・サービスその他,TOPIX Small 1
7863,平賀,jp,stock,JPY,consumer,consumer,balanced,平賀 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7864,フジシールインターナショナル,jp,stock,JPY,consumer,consumer,balanced,フジシールインターナショナル プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 1
7865,ピープル,jp,stock,JPY,consumer,consumer,balanced,ピープル スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7867,タカラトミー,jp,stock,JPY,consumer,consumer,balanced,タカラトミー プライム（内国株式） その他製品 情報通信・サービスその他,mid,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Mid400
7868,広済堂ホールディングス,jp,stock,JPY,consumer,consumer,balanced,広済堂ホールディングス プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7871,フクビ化学工業,jp,stock,JPY,balanced,materials,value,フクビ化学工業 スタンダード（内国株式） 化学 素材・化学,,スタンダード（内国株式）,化学,素材・化学,-
7872,エステールホールディングス,jp,stock,JPY,consumer,consumer,balanced,エステールホールディングス スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7874,レック,jp,stock,JPY,balanced,materials,value,レック プライム（内国株式） 化学 素材・化学,small,プライム（内国株式）,化学,素材・化学,TOPIX Small 2
7875,竹田ｉＰホールディングス,jp,stock,JPY,consumer,consumer,balanced,竹田ｉＰホールディングス スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7877,永大化工,jp,stock,JPY,balanced,materials,value,永大化工 スタンダード（内国株式） 化学 素材・化学,,スタンダード（内国株式）,化学,素材・化学,-
7878,光・彩,jp,stock,JPY,consumer,consumer,balanced,光・彩 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7879,ノダ,jp,stock,JPY,consumer,consumer,balanced,ノダ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7883,サンメッセ,jp,stock,JPY,consumer,consumer,balanced,サンメッセ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7885,タカノ,jp,stock,JPY,consumer,consumer,balanced,タカノ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7886,ヤマト　モビリティ　＆　Ｍｆｇ．,jp,stock,JPY,balanced,materials,value,ヤマト　モビリティ　＆　Ｍｆｇ． スタンダード（内国株式） 化学 素材・化学,,スタンダード（内国株式）,化学,素材・化学,-
7887,南海プライウッド,jp,stock,JPY,consumer,consumer,balanced,南海プライウッド スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7888,三光合成,jp,stock,JPY,balanced,materials,value,三光合成 プライム（内国株式） 化学 素材・化学,small,プライム（内国株式）,化学,素材・化学,TOPIX Small 2
7893,プロネクサス,jp,stock,JPY,consumer,consumer,balanced,プロネクサス プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7896,セブン工業,jp,stock,JPY,consumer,consumer,balanced,セブン工業 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7897,ホクシン,jp,stock,JPY,consumer,consumer,balanced,ホクシン スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7898,ウッドワン,jp,stock,JPY,consumer,consumer,balanced,ウッドワン スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7901,マツモト,jp,stock,JPY,consumer,consumer,balanced,マツモト スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7902,ソノコム,jp,stock,JPY,consumer,consumer,balanced,ソノコム スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7906,ヨネックス,jp,stock,JPY,consumer,consumer,balanced,ヨネックス スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7908,きもと,jp,stock,JPY,balanced,materials,value,きもと スタンダード（内国株式） 化学 素材・化学,,スタンダード（内国株式）,化学,素材・化学,-
7911,ＴＯＰＰＡＮホールディングス,jp,stock,JPY,consumer,consumer,balanced,ＴＯＰＰＡＮホールディングス プライム（内国株式） その他製品 情報通信・サービスその他,mid,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Mid400
7912,大日本印刷,jp,stock,JPY,consumer,consumer,balanced,大日本印刷 プライム（内国株式） その他製品 情報通信・サービスその他,mid,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Mid400
7914,共同印刷,jp,stock,JPY,consumer,consumer,balanced,共同印刷 プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7915,ＮＩＳＳＨＡ,jp,stock,JPY,consumer,consumer,balanced,ＮＩＳＳＨＡ プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 1
7916,光村印刷,jp,stock,JPY,consumer,consumer,balanced,光村印刷 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7917,ＺＡＣＲＯＳ,jp,stock,JPY,balanced,materials,value,ＺＡＣＲＯＳ プライム（内国株式） 化学 素材・化学,small,プライム（内国株式）,化学,素材・化学,TOPIX Small 2
7918,ヴィア・ホールディングス,jp,stock,JPY,consumer,consumer,balanced,ヴィア・ホールディングス スタンダード（内国株式） 小売業 小売,,スタンダード（内国株式）,小売業,小売,-
7919,野崎印刷紙業,jp,stock,JPY,consumer,consumer,balanced,野崎印刷紙業 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,jp,stock,JPY,consumer,consumer,balanced,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ プライム（内国株式） その他製品 情報通信・サービスその他,small,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 2
7922,三光産業,jp,stock,JPY,consumer,consumer,balanced,三光産業 スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7925,前澤化成工業,jp,stock,JPY,balanced,materials,value,前澤化成工業 プライム（内国株式） 化学 素材・化学,small,プライム（内国株式）,化学,素材・化学,TOPIX Small 2
7927,ムトー精工,jp,stock,JPY,balanced,materials,value,ムトー精工 スタンダード（内国株式） 化学 素材・化学,,スタンダード（内国株式）,化学,素材・化学,-
7928,旭化学工業,jp,stock,JPY,balanced,materials,value,旭化学工業 スタンダード（内国株式） 化学 素材・化学,,スタンダード（内国株式）,化学,素材・化学,-
7931,未来工業,jp,stock,JPY,balanced,materials,value,未来工業 プライム（内国株式） 化学 素材・化学,small,プライム（内国株式）,化学,素材・化学,TOPIX Small 2
7932,ニッピ,jp,stock,JPY,consumer,consumer,balanced,ニッピ スタンダード（内国株式） その他製品 情報通信・サービスその他,,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-
7936,アシックス,jp,stock,JPY,consumer,consumer,balanced,アシックス プライム（内国株式） その他製品 情報通信・サービスその他,large,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Large70
