symbol,name,market,asset_type,currency,theme,sector,tags,aliases,source_listing_date,source_settlement_months
8986.T,大和証券リビング投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",大和証券リビング投資法人 投資証券 2006/06/22 3月末 9月末,2006/06/22,3月末 9月末
8985.T,ジャパン・ホテル・リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ジャパン・ホテル・リート投資法人 投資証券 2006/06/14 12月末,2006/06/14,12月末
8984.T,大和ハウスリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",大和ハウスリート投資法人 投資証券 2006/03/22 2月末 8月末,2006/03/22,2月末 8月末
8977.T,阪急阪神リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",阪急阪神リート投資法人 投資証券 2005/10/26 5月末 11月末,2005/10/26,5月末 11月末
8976.T,大和証券オフィス投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",大和証券オフィス投資法人 投資証券 2005/10/19 5月末 11月末,2005/10/19,5月末 11月末
8975.T,いちごオフィスリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",いちごオフィスリート投資法人 投資証券 2005/10/12 4月末 10月末,2005/10/12,4月末 10月末
8972.T,KDX不動産投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",KDX不動産投資法人 投資証券 2005/07/21 4月末 10月末,2005/07/21,4月末 10月末
8968.T,福岡リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",福岡リート投資法人 投資証券 2005/06/21 2月末 8月末,2005/06/21,2月末 8月末
8967.T,日本ロジスティクスファンド投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",日本ロジスティクスファンド投資法人 投資証券 2005/05/09 1月末 7月末,2005/05/09,1月末 7月末
8966.T,平和不動産リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",平和不動産リート投資法人 投資証券 2005/03/08 5月末 11月末,2005/03/08,5月末 11月末
8964.T,フロンティア不動産投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",フロンティア不動産投資法人 投資証券 2004/08/09 6月末 12月末,2004/08/09,6月末 12月末
8961.T,森トラストリート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",森トラストリート投資法人 投資証券 2004/02/13 2月末 8月末,2004/02/13,2月末 8月末
8960.T,ユナイテッド・アーバン投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ユナイテッド・アーバン投資法人 投資証券 2003/12/22 5月末 11月末,2003/12/22,5月末 11月末
8958.T,グローバル・ワン不動産投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",グローバル・ワン不動産投資法人 投資証券 2003/09/25 3月末 9月末,2003/09/25,3月末 9月末
8957.T,東急リアル・エステート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",東急リアル・エステート投資法人 投資証券 2003/09/10 1月末 7月末,2003/09/10,1月末 7月末
8956.T,ＮＴＴ都市開発リート投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ＮＴＴ都市開発リート投資法人 投資証券 2002/09/10 4月末 10月末,2002/09/10,4月末 10月末
8955.T,日本プライムリアルティ投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",日本プライムリアルティ投資法人 投資証券 2002/06/14 6月末 12月末,2002/06/14,6月末 12月末
8954.T,オリックス不動産投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",オリックス不動産投資法人 投資証券 2002/06/12 2月末 8月末,2002/06/12,2月末 8月末
8953.T,日本都市ファンド投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",日本都市ファンド投資法人 投資証券 2002/03/12 2月末 8月末,2002/03/12,2月末 8月末
8952.T,ジャパンリアルエステイト投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",ジャパンリアルエステイト投資法人 投資証券 2001/09/10 3月末 9月末,2001/09/10,3月末 9月末
8951.T,日本ビルファンド投資法人 投資証券,jp,reit,JPY,reit,real_estate,"dividend,balanced",日本ビルファンド投資法人 投資証券 2001/09/10 6月末 12月末,2001/09/10,6月末 12月末
