symbol,nisa_category,nisa_growth_eligible,nisa_tsumitate_eligible
2097.T,growth,true,false
8972.T,growth,true,false
2623.T,growth,true,false
2011.T,growth,true,false
9284.T,growth,true,false
8960.T,growth,true,false
2013.T,growth,true,false
2012.T,growth,true,false
2014.T,growth,true,false
2259.T,growth,true,false
2255.T,growth,true,false
2256.T,growth,true,false
2257.T,growth,true,false
2258.T,growth,true,false
2637.T,growth,true,false
2641.T,growth,true,false
2837.T,growth,true,false
2016.T,growth,true,false
2015.T,growth,true,false
2017.T,growth,true,false
2018.T,growth,true,false
2019.T,growth,true,false
1671.T,growth,true,false
2555.T,growth,true,false
1563.T,growth,true,false
2516.T,growth,true,false
1551.T,growth,true,false
1679.T,growth,true,false
3472.T,growth,true,false
2643.T,growth,true,false
2093.T,growth,true,false
1330.T,growth,true,false
1592.T,growth,true,false
1345.T,growth,true,false
2552.T,growth,true,false
1399.T,growth,true,false
1308.T,growth,true,false
1586.T,growth,true,false
1495.T,growth,true,false
1681.T,growth,true,false
1680.T,growth,true,false
2843.T,growth,true,false
2844.T,growth,true,false
1555.T,growth,true,false
1566.T,growth,true,false
1554.T,growth,true,false
1322.T,growth,true,false
1578.T,growth,true,false
2566.T,growth,true,false
1481.T,growth,true,false
1698.T,growth,true,false
2862.T,growth,true,false
2861.T,growth,true,false
2569.T,growth,true,false
2568.T,growth,true,false
1547.T,growth,true,false
2521.T,growth,true,false
2562.T,growth,true,false
2235.T,growth,true,false
1487.T,growth,true,false
1486.T,growth,true,false
3492.T,growth,true,false
3488.T,growth,true,false
2972.T,growth,true,false
