symbol,name,market,asset_type,case_type,as_of,lookback_days,forward_days,upward_signal_score,upside_signal_score,downside_signal_score,risk_signal_score,chart_shape_label,signal_reason,forward_return_20d,forward_return_60d,forward_return_120d,max_drawdown_after_signal,benchmark_return,excess_return,success_flag,false_positive_flag,adjustment_note
PEP,PepsiCo,us,stock,chart_shape,2026-04-13,60,60,64.97,49.0000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.150629341824269738732890150,-11.56017687195225729677071252,,-14.56874931944878439809753633,,,False,False,
PFE,Pfizer,us,stock,chart_shape,2016-11-07,60,60,25.95,0,75,25,押し目反発待ち,形状は「押し目反発待ち」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,3.884135806186278342083604400,5.628709428308813905868243500,10.63200155110268041421992880,-7.614214660586288186131324000,,,False,False,
PFE,Pfizer,us,stock,sideways,2019-03-19,60,60,71.82,50.7000,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-3.262415190037049835090500610,0.472816137513345059480065200,-12.93144484429564660757788004,-9.643022474767915414106325640,,,False,True,
PFE,Pfizer,us,stock,already_rising,2021-07-23,60,60,21.60,36.2500,55,45,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく19点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,16.89059708248880423910160330,-0.8637250664963538657971051300,35.91650938362437221629349760,-18.04839112375446676130477532,,,False,False,
PFE,Pfizer,us,stock,chart_shape,2023-11-29,60,60,53.37,39.2500,35,65,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく3点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.288560543386379728267638590,-10.60505499384518558585106142,-1.595743163077737404188129260,-14.24351903639768836412737830,,,False,False,
PFE,Pfizer,us,stock,chart_shape,2026-04-13,60,60,11.16,37.0500,75.207235661807076,24.792764338192924,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく32点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-5.596198530016041488066955490,-11.30212192883036072995775744,,-14.11465698486516234069280356,,,False,False,
UBER,Uber Technologies,us,stock,chart_shape,2019-09-09,60,60,12.06,0,100,0,押し目反発待ち,形状は「押し目反発待ち」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく35点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-5.800250440068616769833654770,-9.987596318438708675508674110,1.892049515809153342377821900,-24.51350699752637181221119406,,,False,False,
UBER,Uber Technologies,us,stock,falling_knife,2021-04-30,60,60,47.83,100,9.6702555602943,90.3297444397057,落ちるナイフ注意,形状は「落ちるナイフ注意」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく22点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-7.193716621834505719354291200,-16.34106388193535924230095400,-16.01241625792339909084020912,-20.12761605825547076315205099,,,False,False,
UBER,Uber Technologies,us,stock,chart_shape,2022-12-20,60,60,59.33,63.9000,28.233728800473926,71.766271199526074,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく6点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,21.63462229146550019826134870,27.92468540208835970390737230,65.34455918084263267979451840,-16.31822383229667986433317575,,,True,False,
UBER,Uber Technologies,us,stock,already_rising,2024-08-15,60,60,40.89,46.4000,43.17567271735584,56.82432728264416,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性を確認。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-0.3437370939928145140817104200,-0.9487177362277403319285195600,2.571146749451135518172715800,-16.56242301238976915914326910,,,False,False,
UBER,Uber Technologies,us,stock,chart_shape,2026-04-13,60,60,79.49,44.6500,23.55207257703913,76.44792742296087,押し目反発待ち,形状は「押し目反発待ち」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,5.266803125330897537843454200,2.778548849853439395030301800,,-13.33838297691908181007763672,,,False,True,
XLU,ST 公益事業 セレクト セクター SPDR ETF,us,etf,etf,2016-11-07,60,60,9.87,6.6500,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-4.140193522974109864019475620,0.225457282819100075326347100,5.451936457262022865876833200,-6.447017057135895995213467870,,,False,False,
XLU,ST 公益事業 セレクト セクター SPDR ETF,us,etf,etf,2019-03-19,60,60,73.31,46.5000,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,0.296629148266847942791934200,5.007850049053235354388982400,9.056008554080670247109848400,-3.426052389976455987109853670,,,False,True,
XLU,ST 公益事業 セレクト セクター SPDR ETF,us,etf,etf,2021-07-23,60,60,68.65,46.1000,15,85,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,6.422159914015750770559565100,-1.004407307731656532097472810,5.828643866104867060452063600,-9.290706935758800283596428830,,,False,True,
XLU,ST 公益事業 セレクト セクター SPDR ETF,us,etf,etf,2023-11-29,60,60,63.83,45.2000,0,100,反転材料弱め,形状は「反転材料弱め」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,1.472232587989077919383164500,-0.9601572614857403395305835600,15.23443783334723443851390820,-9.111580359236226947965240890,,,False,False,
XLU,ST 公益事業 セレクト セクター SPDR ETF,us,etf,etf,2026-04-13,60,60,68.85,49.7500,0,100,蓄積上昇準備,形状は「蓄積上昇準備」。予測は上向き。下落安全性は相対的に良好。ETFには個別株の配当罠判定を適用しません。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-2.694546273865499498728063140,-2.716099025891267030981142980,,-8.004269204131174739149788510,,,False,True,
