symbol,name,market,asset_type,case_type,as_of,lookback_days,forward_days,upward_signal_score,upside_signal_score,downside_signal_score,risk_signal_score,chart_shape_label,signal_reason,forward_return_20d,forward_return_60d,forward_return_120d,max_drawdown_after_signal,benchmark_return,excess_return,success_flag,false_positive_flag,adjustment_note
F,Ford Motor フォード モーター,us,stock,chart_shape,2019-03-19,60,60,9.97,27.8000,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく26点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,7.586205308984451758508284500,15.63219126629427121453268250,9.655174379352570400795694700,-8.899515487808073429038378540,,,True,False,
F,Ford Motor フォード モーター,us,stock,chart_shape,2021-07-23,60,60,91.28,90.0000,1.104193038788164,98.895806961211836,押し目反発待ち,形状は「押し目反発待ち」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-9.044862717820046595406319620,12.59045414772429650336118370,77.06222759555374761742887530,-12.64767619927855980287922414,,,True,False,
F,Ford Motor フォード モーター,us,stock,already_rising,2023-11-29,60,60,53.29,62.7000,26.479504146906436,73.520495853093564,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,16.52502336907285664895954180,13.31444595935673130715114380,13.59772955273666088359482440,-11.72690811658052313490555089,,,True,False,
F,Ford Motor フォード モーター,us,stock,already_rising,2026-04-13,60,60,47.21,41.5500,19.48239700424306,80.51760299575694,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく5点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-0.9046024511312565219528409300,11.92434068635062376409485860,,-23.39449972729508742738737114,,,True,False,
GE,GE Aerospace,us,stock,chart_shape,2016-11-07,60,60,4.75,0,75,25,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく28点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,6.345961947952996673052431700,1.330602822064220591332531300,-1.091780852572160296931667240,-7.968988810235635825865309300,,,False,False,
GE,GE Aerospace,us,stock,chart_shape,2019-03-19,60,60,2.97,0,84.01102197784724,15.98897802215276,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく35点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-10.30421913048938476787410610,1.177630193864936299513675200,-12.07065691031531484255885752,-12.56085867878854709147927285,,,False,False,
GE,GE Aerospace,us,stock,chart_shape,2021-07-23,60,60,14.50,1.8500,87.972395134781316,12.027604865218684,押し目反発待ち,形状は「押し目反発待ち」。予測の上向き材料は不足。下落安全性を確認。危険条件は上限固定ではなく35点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-1.603069565205343786097357480,2.399684555181197935110385100,0.550745794194534921655512600,-9.106269752127686800866079010,,,False,False,
GE,GE Aerospace,us,stock,chart_shape,2023-11-29,60,60,29.99,31.7500,55,45,反転材料弱め,形状は「反転材料弱め」。予測の上向き材料は不足。下落安全性は相対的に良好。危険条件は上限固定ではなく11点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,7.958943933398176626533795800,29.55578035979150616221919620,69.52290475097425594772448210,-3.319826281714702224044617970,,,True,False,
GE,GE Aerospace,us,stock,already_rising,2026-04-13,60,60,51.43,71.2000,14.08828094130317,85.91171905869683,上昇済み・兆候薄め,形状は「上昇済み・兆候薄め」。予測は上向き。下落安全性は相対的に良好。危険条件は上限固定ではなく8点減点。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,-3.568453062075533607713330400,15.11382352385767121998162380,,-13.11634951417550314465408805,,,True,False,
GM,General Motors ゼネラル モーターズ,us,stock,sideways,2016-11-07,60,60,74.19,54.0000,0,100,横ばい上放れ候補,形状は「横ばい上放れ候補」。予測は上向き。下落安全性は相対的に良好。上向きの確定や買い推奨ではなく、下落理由と危険度を深掘りする候補です。,9.525294170697107513806546100,13.46034138561669980847015250,3.685197652424372203336507900,-7.488050202469670223285177070,,,True,False,
